variant,n,success_rate,premature_stop_rate
H3,540,0.7833333333333333,0.19444444444444445
H4,540,0.8814814814814815,0.11481481481481481
generic-retry,540,0.75,0.20555555555555555
natural-retry,540,0.7537037037037037,0.2
retain+generic,540,0.762962962962963,0.18518518518518517
targeted+untyped,540,0.8814814814814815,0.11481481481481481
typed+no-retain,540,0.8870370370370371,0.11296296296296296
